Cuenta_ID,Transaccion_ID,Código_Alerta,Descripción,Fecha_Alerta
2280,1035,B202,Sospecha de fraude,2021-09-05
1703,1343,C303,Sospecha de fraude,2023-09-27
1548,4682,A101,Intento de phishing,2021-06-15
903,387,B202,Sospecha de fraude,2022-12-19
2072,3881,C303,Sospecha de fraude,2023-07-17
276,282,A101,Intento de phishing,2021-07-30
1370,3051,B202,Intento de phishing,2020-08-22
1386,4931,C303,Intento de phishing,2023-07-27
1708,1280,C303,Intento de phishing,2020-03-17
1141,1654,B202,Intento de phishing,2020-03-15
2349,1125,C303,Sospecha de fraude,2023-03-17
645,3967,C303,Intento de phishing,2020-03-14
2820,4586,A101,Intento de phishing,2021-11-03
538,2534,B202,Intento de phishing,2022-06-16
1817,1120,C303,Sospecha de fraude,2023-04-06
1580,4045,B202,Sospecha de fraude,2023-03-04
2314,4918,C303,Intento de phishing,2021-02-25
2624,4924,B202,Sospecha de fraude,2020-06-16
2748,573,A101,Sospecha de fraude,2021-11-08
1174,456,C303,Sospecha de fraude,2023-07-21
2442,4154,C303,Intento de phishing,2021-02-24
1544,4478,A101,Sospecha de fraude,2021-04-18
25,649,C303,Intento de phishing,2021-11-02
726,1489,B202,Sospecha de fraude,2021-11-15
2620,3709,C303,Intento de phishing,2023-09-13
1763,1690,A101,Sospecha de fraude,2022-10-04
2723,4686,B202,Intento de phishing,2023-08-31
2534,3354,B202,Sospecha de fraude,2020-10-24
1523,3551,B202,Intento de phishing,2023-11-24
2274,668,B202,Sospecha de fraude,2020-04-28
1249,697,A101,Intento de phishing,2023-05-26
2839,2709,B202,Intento de phishing,2023-04-28
1194,3477,B202,Intento de phishing,2022-10-05
2227,3456,C303,Intento de phishing,2023-01-26
192,2167,A101,Intento de phishing,2020-01-22
744,1598,B202,Intento de phishing,2022-02-12
1162,3373,C303,Sospecha de fraude,2023-04-24
795,2183,B202,Sospecha de fraude,2022-06-10
970,2574,B202,Intento de phishing,2020-11-12
896,652,C303,Intento de phishing,2023-02-09
162,3999,B202,Intento de phishing,2020-02-29
1924,1492,C303,Intento de phishing,2023-01-19
918,4660,B202,Sospecha de fraude,2021-06-11
498,2058,A101,Intento de phishing,2021-05-21
2574,3018,B202,Intento de phishing,2022-12-23
1616,2142,B202,Intento de phishing,2023-10-10
1757,2085,C303,Intento de phishing,2021-06-19
2913,160,B202,Sospecha de fraude,2021-10-17
2521,3863,C303,Sospecha de fraude,2020-04-30
681,1640,C303,Intento de phishing,2020-09-20
1327,28,B202,Sospecha de fraude,2020-03-17
1810,175,C303,Sospecha de fraude,2023-08-19
1435,803,C303,Intento de phishing,2022-09-26
19,2331,A101,Sospecha de fraude,2022-04-28
487,3988,C303,Sospecha de fraude,2023-05-30
2723,3498,B202,Intento de phishing,2021-02-07
1931,2102,A101,Intento de phishing,2021-02-17
427,291,A101,Sospecha de fraude,2022-02-26
373,2733,C303,Sospecha de fraude,2021-08-26
580,4371,B202,Intento de phishing,2022-04-23
2637,3225,B202,Sospecha de fraude,2022-09-17
1519,3708,A101,Sospecha de fraude,2021-05-09
1694,1728,C303,Intento de phishing,2020-06-16
2506,883,C303,Sospecha de fraude,2021-11-06
2591,4566,A101,Sospecha de fraude,2023-03-28
768,1126,C303,Sospecha de fraude,2021-04-12
2337,2182,B202,Intento de phishing,2021-08-29
1891,3913,B202,Intento de phishing,2021-07-08
2902,506,A101,Intento de phishing,2022-05-11
2,3620,A101,Sospecha de fraude,2020-02-18
1630,3973,A101,Intento de phishing,2021-02-23
2266,4331,C303,Intento de phishing,2023-06-20
2401,692,A101,Sospecha de fraude,2021-10-30
2252,3200,A101,Intento de phishing,2020-02-17
171,2465,B202,Intento de phishing,2021-04-26
1934,3011,C303,Intento de phishing,2023-02-18
305,341,B202,Sospecha de fraude,2020-03-10
1865,3382,B202,Sospecha de fraude,2020-04-16
2134,1253,C303,Intento de phishing,2021-06-08
275,4867,C303,Intento de phishing,2022-05-21
2933,4413,C303,Intento de phishing,2023-09-01
2479,1198,C303,Intento de phishing,2022-04-30
968,482,C303,Sospecha de fraude,2021-02-24
1973,4854,A101,Sospecha de fraude,2021-08-17
1262,2681,B202,Intento de phishing,2022-05-26
963,1960,B202,Intento de phishing,2021-08-27
1367,3402,B202,Intento de phishing,2022-02-24
2317,617,B202,Sospecha de fraude,2023-05-02
213,3501,A101,Sospecha de fraude,2021-08-16
1912,1857,C303,Intento de phishing,2021-09-27
1495,2330,A101,Intento de phishing,2022-06-03
2231,951,C303,Intento de phishing,2021-08-04
820,3970,B202,Intento de phishing,2022-10-28
2373,4492,C303,Sospecha de fraude,2023-06-21
1548,643,B202,Intento de phishing,2020-10-26
650,609,B202,Intento de phishing,2021-08-26
1445,3950,B202,Sospecha de fraude,2021-01-17
2195,1447,C303,Intento de phishing,2021-11-02
1766,3609,B202,Sospecha de fraude,2020-09-14
1762,1162,A101,Intento de phishing,2020-05-08
207,4734,A101,Sospecha de fraude,2021-09-12
1803,4260,C303,Sospecha de fraude,2023-12-09
434,2953,B202,Intento de phishing,2022-03-10
655,1040,B202,Sospecha de fraude,2021-02-27
2118,445,C303,Sospecha de fraude,2022-11-18
874,2663,C303,Sospecha de fraude,2023-08-26
519,3230,B202,Sospecha de fraude,2023-07-17
473,3527,A101,Sospecha de fraude,2020-10-04
2183,4824,A101,Intento de phishing,2020-08-10
1781,1494,A101,Sospecha de fraude,2021-07-06
1146,2884,A101,Intento de phishing,2023-07-09
909,2261,C303,Intento de phishing,2021-11-25
681,880,B202,Intento de phishing,2021-08-13
1809,1513,C303,Intento de phishing,2023-08-06
819,1190,C303,Intento de phishing,2020-05-01
2641,3228,C303,Intento de phishing,2022-05-19
323,696,B202,Intento de phishing,2022-03-03
673,4403,A101,Sospecha de fraude,2023-07-12
2357,4269,C303,Intento de phishing,2020-07-21
2381,2319,C303,Sospecha de fraude,2023-03-14
1228,547,B202,Intento de phishing,2021-01-16
1745,279,B202,Sospecha de fraude,2021-03-13
292,2264,C303,Sospecha de fraude,2022-08-20
607,2652,B202,Intento de phishing,2020-10-25
2166,414,A101,Sospecha de fraude,2021-08-22
218,2219,B202,Sospecha de fraude,2020-12-26
462,3413,C303,Intento de phishing,2022-01-09
2359,390,B202,Intento de phishing,2022-12-31
2426,2500,C303,Sospecha de fraude,2020-04-02
2543,872,C303,Intento de phishing,2020-03-19
730,3938,B202,Intento de phishing,2020-11-08
1579,2111,C303,Sospecha de fraude,2021-10-09
168,2417,A101,Intento de phishing,2022-06-16
1000,4833,A101,Sospecha de fraude,2020-04-16
2202,3118,C303,Sospecha de fraude,2021-10-06
596,3324,A101,Sospecha de fraude,2021-11-29
2805,2129,C303,Sospecha de fraude,2023-03-23
333,2115,C303,Sospecha de fraude,2023-06-08
251,4904,A101,Sospecha de fraude,2021-09-16
2447,826,B202,Intento de phishing,2020-06-22
398,656,B202,Intento de phishing,2020-10-02
268,1731,A101,Intento de phishing,2023-12-06
1168,3509,C303,Intento de phishing,2023-01-12
2327,2231,B202,Sospecha de fraude,2022-05-27
439,3075,A101,Sospecha de fraude,2021-08-26
2169,908,A101,Sospecha de fraude,2021-09-20
2189,3224,A101,Sospecha de fraude,2020-11-10
2274,3009,A101,Intento de phishing,2020-01-08
306,1304,C303,Sospecha de fraude,2021-11-23
910,3412,B202,Intento de phishing,2022-07-11
1889,1547,C303,Sospecha de fraude,2021-09-17
1627,4605,A101,Intento de phishing,2023-04-14
1697,1849,C303,Sospecha de fraude,2022-01-21
2207,1040,A101,Intento de phishing,2020-11-03
1636,4381,C303,Sospecha de fraude,2021-05-27
2754,3566,A101,Intento de phishing,2022-05-10
599,1961,B202,Intento de phishing,2023-12-05
2952,1606,B202,Intento de phishing,2022-11-17
2061,2679,B202,Sospecha de fraude,2021-12-04
111,3785,A101,Sospecha de fraude,2020-04-23
1379,2464,A101,Sospecha de fraude,2023-02-03
2917,4082,B202,Intento de phishing,2023-08-10
263,2427,A101,Sospecha de fraude,2021-06-19
122,204,B202,Intento de phishing,2022-09-27
1271,4397,C303,Sospecha de fraude,2021-02-28
1584,3236,A101,Intento de phishing,2021-07-05
2585,1678,A101,Sospecha de fraude,2020-02-19
1487,3153,C303,Intento de phishing,2022-11-14
2052,4764,C303,Sospecha de fraude,2020-11-04
81,2718,A101,Intento de phishing,2023-11-02
1792,3236,B202,Intento de phishing,2023-01-13
282,2770,A101,Sospecha de fraude,2022-12-04
1382,455,B202,Sospecha de fraude,2023-04-19
1750,1331,A101,Sospecha de fraude,2023-07-09
1627,2018,C303,Intento de phishing,2021-08-11
2641,1734,A101,Sospecha de fraude,2023-11-24
428,3979,C303,Intento de phishing,2022-04-23
699,226,A101,Sospecha de fraude,2023-05-13
1027,1694,A101,Sospecha de fraude,2020-05-18
668,4551,A101,Intento de phishing,2021-04-20
465,4575,B202,Intento de phishing,2021-04-07
285,1719,B202,Intento de phishing,2023-04-04
791,3647,C303,Intento de phishing,2021-12-12
2658,4295,C303,Sospecha de fraude,2020-09-17
1407,447,B202,Sospecha de fraude,2022-11-03
1057,271,B202,Sospecha de fraude,2022-03-02
2456,3259,C303,Sospecha de fraude,2021-03-02
1581,3092,A101,Sospecha de fraude,2022-01-01
97,1370,C303,Sospecha de fraude,2022-06-10
1996,4421,A101,Sospecha de fraude,2021-01-01
916,2207,C303,Intento de phishing,2020-10-01
2883,1521,A101,Intento de phishing,2022-04-26
853,451,A101,Intento de phishing,2021-08-29
990,4311,A101,Intento de phishing,2022-02-16
2501,2488,B202,Intento de phishing,2022-09-14
