Tarjeta_ID,Cuenta_ID,Fecha_Asociacion,Estado,Uso_Frecuente
1901,1604,2020-11-05,Bloqueada,False
1194,2949,2023-04-09,Bloqueada,True
2795,121,2021-04-11,Bloqueada,True
104,1983,2023-07-16,Activa,False
1659,2721,2023-11-12,Bloqueada,False
1142,1580,2020-03-11,Bloqueada,False
357,1189,2021-04-15,Activa,True
1338,2261,2020-02-09,Activa,True
1874,477,2023-06-07,Bloqueada,True
1121,2877,2020-11-04,Bloqueada,True
1200,2645,2023-07-10,Activa,False
1635,155,2021-04-10,Activa,True
2647,963,2022-09-25,Bloqueada,False
790,736,2020-04-06,Activa,False
1256,195,2023-06-21,Bloqueada,False
1818,1290,2021-04-08,Activa,True
774,2661,2020-06-19,Bloqueada,False
2025,2482,2020-01-09,Activa,True
912,684,2022-12-01,Bloqueada,False
189,1978,2021-10-23,Bloqueada,False
172,1,2023-08-25,Bloqueada,False
1115,239,2022-08-07,Activa,False
1610,977,2021-01-14,Bloqueada,True
787,2255,2020-05-29,Bloqueada,False
88,2962,2022-01-05,Activa,True
2439,357,2021-10-29,Activa,True
709,2133,2021-03-16,Activa,False
2157,1226,2023-11-12,Bloqueada,False
1440,2135,2020-02-15,Bloqueada,False
874,1509,2022-01-21,Bloqueada,False
2699,1127,2022-05-25,Bloqueada,False
2276,528,2023-05-03,Bloqueada,False
1167,747,2022-12-23,Activa,False
2207,1802,2021-08-12,Bloqueada,False
1089,2555,2022-02-20,Bloqueada,False
277,1187,2022-10-09,Bloqueada,True
1118,358,2020-12-16,Bloqueada,False
2689,299,2020-04-06,Activa,False
2643,1695,2022-05-22,Activa,True
1773,947,2021-07-05,Activa,False
744,736,2021-09-10,Bloqueada,True
2482,580,2020-06-26,Bloqueada,True
2356,1019,2020-07-14,Activa,False
2289,2233,2020-02-29,Bloqueada,True
2217,138,2022-02-08,Bloqueada,False
1451,2947,2023-10-28,Activa,True
2270,1779,2022-04-17,Activa,True
2559,32,2020-05-14,Bloqueada,False
2326,2448,2022-12-25,Activa,False
2871,2780,2022-10-17,Activa,False
2878,1829,2020-11-11,Activa,True
2432,2906,2020-05-07,Activa,True
2577,177,2020-01-14,Activa,True
1,2872,2020-01-08,Bloqueada,True
2460,914,2023-04-09,Activa,False
1925,280,2022-04-25,Activa,False
1550,387,2020-02-29,Activa,False
1484,856,2023-05-24,Activa,True
407,2962,2023-08-06,Activa,True
2554,1816,2022-05-02,Bloqueada,False
2011,710,2020-04-14,Activa,False
658,2264,2023-04-18,Activa,True
888,2901,2023-09-21,Activa,True
386,2001,2023-06-27,Bloqueada,False
