Transaccion_ID,Comercio_ID,Tipo_Comercio,País,Validación
1202,682,Electrónica,Guatemala,Fallida
4916,354,Alimentos,México,Fallida
4448,802,Alimentos,México,Exitosa
7,1034,Retail,Guatemala,Exitosa
2794,1741,Electrónica,México,Exitosa
3585,336,Retail,Colombia,Exitosa
1854,293,Retail,México,Fallida
2026,811,Alimentos,México,Fallida
3870,1327,Alimentos,Colombia,Fallida
3958,168,Electrónica,Colombia,Fallida
2199,538,Alimentos,México,Exitosa
926,232,Retail,Guatemala,Fallida
3036,1858,Alimentos,Colombia,Fallida
861,1446,Retail,México,Exitosa
1899,38,Alimentos,México,Fallida
123,441,Electrónica,Colombia,Exitosa
2429,1586,Electrónica,Guatemala,Exitosa
3884,1534,Alimentos,Colombia,Fallida
4218,1839,Retail,Colombia,Exitosa
1279,966,Retail,México,Fallida
2743,533,Electrónica,Colombia,Fallida
4555,573,Electrónica,México,Fallida
1749,1330,Retail,México,Exitosa
3467,1896,Retail,Colombia,Fallida
1683,831,Alimentos,México,Exitosa
2383,1132,Electrónica,Guatemala,Fallida
2923,599,Retail,Guatemala,Fallida
473,255,Retail,México,Exitosa
2168,1276,Retail,Colombia,Exitosa
669,1646,Retail,Colombia,Exitosa
4496,1117,Electrónica,Colombia,Fallida
4267,44,Electrónica,México,Exitosa
2975,1466,Electrónica,Guatemala,Fallida
2434,1784,Alimentos,México,Exitosa
3775,560,Alimentos,Colombia,Exitosa
1395,1643,Electrónica,Guatemala,Exitosa
3679,251,Retail,Colombia,Exitosa
2252,966,Retail,México,Exitosa
54,1824,Retail,Colombia,Exitosa
3661,599,Alimentos,Colombia,Fallida
4617,1374,Alimentos,Colombia,Exitosa
2842,1931,Electrónica,Colombia,Exitosa
3659,121,Electrónica,Colombia,Fallida
1209,560,Retail,Colombia,Exitosa
4985,236,Retail,Guatemala,Fallida
583,143,Retail,Guatemala,Fallida
511,673,Retail,México,Exitosa
149,1322,Alimentos,México,Exitosa
2728,1793,Alimentos,México,Exitosa
3300,1122,Retail,Colombia,Fallida
1732,1028,Electrónica,Guatemala,Exitosa
2916,1140,Electrónica,Colombia,Exitosa
