Transaccion_Origen_ID,Transaccion_Destino_ID,Monto,Motivo,Método_Transferencia
941,4685,7379.71,Pago,SWIFT
3680,4627,9614.8,Reembolso,ACH
1104,4647,3352.38,Reembolso,Interna
404,2045,7479.28,Transferencia,SWIFT
2192,4098,3450.16,Pago,Interna
1994,1057,9162.95,Reembolso,Interna
4368,2866,8465.9,Reembolso,SWIFT
3484,1758,3887.63,Transferencia,Interna
3645,3874,4631.11,Reembolso,Interna
2619,1849,6999.52,Reembolso,ACH
3923,2092,7298.14,Transferencia,Interna
2478,3627,2050.03,Reembolso,SWIFT
2711,2610,1629.85,Transferencia,Interna
1578,299,7883.61,Transferencia,Interna
4237,1404,6832.75,Pago,SWIFT
1096,4483,4248.4,Reembolso,ACH
4768,3910,5499.23,Pago,ACH
4458,4747,5539.82,Transferencia,Interna
2549,4538,6098.95,Pago,SWIFT
2524,3497,6003.97,Pago,ACH
1640,4168,3809.86,Transferencia,Interna
1161,850,6348.88,Reembolso,SWIFT
1887,4579,442.74,Pago,ACH
4405,4192,6454.33,Reembolso,ACH
281,3204,913.74,Transferencia,Interna
1904,3720,2837.44,Pago,ACH
1453,4051,7553.21,Reembolso,ACH
1166,3117,4225.79,Pago,Interna
4162,962,1325.67,Pago,SWIFT
1458,4272,7807.59,Transferencia,SWIFT
4471,132,3504.24,Transferencia,Interna
3443,1512,6342.73,Reembolso,Interna
794,1750,7545.83,Reembolso,Interna
3639,2734,4609.47,Reembolso,Interna
2498,445,6370.55,Reembolso,Interna
2903,3244,5980.29,Transferencia,SWIFT
3938,3559,4257.57,Reembolso,SWIFT
3204,1324,270.71,Reembolso,SWIFT
1276,1397,1896.14,Reembolso,Interna
1553,2957,5720.17,Transferencia,ACH
2413,2031,5776.1,Reembolso,SWIFT
1573,3006,4932.88,Reembolso,ACH
4853,3727,184.53,Pago,SWIFT
1102,3609,4181.66,Reembolso,SWIFT
3488,1871,7755.25,Transferencia,Interna
3862,4390,8315.84,Transferencia,SWIFT
3476,3348,5681.77,Pago,ACH
1603,4009,8005.95,Reembolso,ACH
880,1418,8499.35,Reembolso,SWIFT
729,4824,7667.56,Transferencia,Interna
1844,3401,6424.4,Reembolso,SWIFT
1964,3397,7743.35,Pago,ACH
2308,974,2976.02,Reembolso,SWIFT
3973,3991,5942.99,Reembolso,SWIFT
186,4511,8709.79,Reembolso,SWIFT
266,877,4308.25,Reembolso,SWIFT
3416,3082,8449.97,Pago,SWIFT
3703,1440,9188.62,Pago,SWIFT
294,3229,2761.35,Reembolso,Interna
3388,1082,4747.7,Transferencia,ACH
1129,3846,4293.61,Reembolso,SWIFT
2545,1231,7821.94,Reembolso,SWIFT
2195,1747,3948.04,Transferencia,Interna
2415,3962,1713.19,Reembolso,Interna
1406,4488,3573.38,Pago,Interna
3202,4847,3996.59,Reembolso,Interna
2384,3203,1035.92,Reembolso,ACH
1812,4003,159.88,Reembolso,Interna
4236,1168,2536.36,Pago,SWIFT
3184,3589,1857.0,Transferencia,Interna
3337,3628,6077.12,Pago,Interna
94,1397,7975.03,Reembolso,SWIFT
2741,1167,9832.25,Pago,Interna
2131,4398,8703.57,Transferencia,ACH
4691,910,3538.52,Transferencia,ACH
2077,1385,5536.06,Transferencia,Interna
2451,2000,6223.24,Transferencia,ACH
2673,2249,6441.57,Pago,ACH
1319,3593,389.22,Reembolso,Interna
4753,2775,7115.23,Reembolso,Interna
577,2403,4314.92,Pago,SWIFT
930,4128,2426.26,Pago,Interna
593,3117,9224.23,Transferencia,Interna
2507,849,4165.82,Reembolso,Interna
3797,4241,5443.95,Reembolso,ACH
3249,615,7132.03,Reembolso,ACH
1752,2106,3727.74,Reembolso,Interna
2771,2677,7394.53,Transferencia,SWIFT
2730,4800,9506.52,Reembolso,Interna
952,3103,2937.06,Reembolso,SWIFT
1159,3688,8005.52,Reembolso,Interna
1428,3250,9626.03,Reembolso,Interna
837,981,120.66,Transferencia,SWIFT
799,2556,375.36,Transferencia,ACH
748,3617,5216.33,Transferencia,ACH
3567,2420,4076.63,Pago,Interna
2898,3781,5329.6,Transferencia,ACH
3290,994,4308.57,Transferencia,ACH
807,3667,8374.45,Pago,ACH
4713,1573,5921.27,Pago,Interna
4291,798,8713.25,Pago,ACH
2702,3511,6795.59,Reembolso,Interna
4959,1301,4527.35,Pago,ACH
3486,1158,8005.85,Reembolso,SWIFT
582,3566,446.13,Transferencia,SWIFT
4380,3257,4369.53,Transferencia,ACH
288,3714,4246.64,Pago,SWIFT
4622,1521,5954.44,Pago,SWIFT
4231,3723,191.81,Pago,SWIFT
506,1680,6100.82,Reembolso,ACH
1,555,5573.66,Reembolso,Interna
2870,4305,3872.47,Pago,SWIFT
239,996,9217.69,Transferencia,Interna
3031,4733,7228.76,Pago,Interna
3881,1453,523.01,Transferencia,ACH
360,4767,4391.38,Transferencia,Interna
2711,150,7131.1,Pago,ACH
3166,504,9495.95,Reembolso,SWIFT
4729,3435,2100.83,Transferencia,Interna
1643,745,7328.18,Transferencia,Interna
381,4948,9127.02,Pago,SWIFT
2061,4348,5029.0,Pago,SWIFT
4190,1221,2742.63,Pago,Interna
368,4947,6146.93,Reembolso,Interna
1226,4630,731.53,Pago,Interna
1753,1268,5534.17,Transferencia,Interna
242,4750,2089.21,Transferencia,ACH
2255,4331,1089.08,Reembolso,ACH
2737,4269,242.09,Reembolso,Interna
2857,4458,6900.75,Transferencia,ACH
674,2999,529.76,Reembolso,SWIFT
2903,4704,7345.69,Reembolso,ACH
2872,3103,3553.86,Transferencia,Interna
1452,1580,6693.3,Reembolso,ACH
88,1845,6040.24,Pago,SWIFT
3672,4690,9610.16,Reembolso,SWIFT
4764,206,3469.78,Pago,SWIFT
60,3662,9599.5,Pago,Interna
4168,1581,9512.82,Transferencia,SWIFT
1167,2703,7264.64,Transferencia,SWIFT
1152,1658,4902.52,Pago,ACH
3805,3408,6473.22,Reembolso,Interna
937,3356,4046.19,Reembolso,SWIFT
3417,3244,7718.52,Pago,SWIFT
1759,2922,4287.39,Reembolso,SWIFT
952,4232,9811.78,Reembolso,SWIFT
2843,2387,7954.88,Transferencia,ACH
4633,3311,3749.86,Pago,SWIFT
3240,830,7929.19,Transferencia,ACH
75,456,3496.21,Reembolso,SWIFT
1888,1624,8111.96,Pago,SWIFT
2088,918,3922.36,Pago,SWIFT
1495,3506,2722.86,Pago,SWIFT
3161,4139,9836.28,Pago,SWIFT
4759,2396,1192.56,Pago,SWIFT
2031,3774,5215.34,Pago,ACH
1092,1501,5968.49,Reembolso,Interna
3916,2870,8515.05,Reembolso,ACH
600,2538,2992.83,Pago,Interna
3867,4043,372.28,Transferencia,ACH
499,1640,6271.79,Reembolso,ACH
3421,203,9779.05,Transferencia,SWIFT
4378,1682,2367.92,Transferencia,ACH
3401,4488,7612.34,Transferencia,SWIFT
3580,3647,4545.42,Transferencia,ACH
1084,4832,5311.27,Reembolso,SWIFT
3225,1170,7724.87,Pago,ACH
3757,3030,8607.16,Pago,SWIFT
4279,1074,2746.76,Reembolso,ACH
3507,4229,8049.98,Pago,SWIFT
1173,3237,4309.34,Pago,Interna
3352,3399,3640.49,Reembolso,Interna
2340,2510,4662.89,Transferencia,ACH
3717,872,363.25,Reembolso,SWIFT
682,998,6172.99,Transferencia,SWIFT
89,3496,3696.98,Reembolso,ACH
3317,3282,8492.08,Reembolso,SWIFT
125,4256,6103.03,Reembolso,ACH
4380,1601,6118.31,Transferencia,Interna
282,74,8070.02,Reembolso,ACH
78,969,6533.65,Reembolso,Interna
759,3332,1468.9,Transferencia,Interna
3006,4891,8045.4,Pago,ACH
2783,3334,3449.83,Reembolso,Interna
556,2143,2825.58,Pago,SWIFT
1279,1832,900.96,Reembolso,Interna
1620,2589,570.0,Transferencia,SWIFT
3978,548,2654.8,Reembolso,Interna
750,191,268.53,Pago,Interna
2488,744,8000.87,Pago,Interna
1251,1713,1931.26,Reembolso,SWIFT
641,2463,2791.9,Pago,Interna
797,872,1905.74,Reembolso,Interna
4933,3979,7112.74,Reembolso,SWIFT
1357,2367,4224.82,Transferencia,SWIFT
854,1650,4435.9,Reembolso,SWIFT
2691,733,2005.45,Transferencia,Interna
1074,1886,5906.35,Transferencia,Interna
2901,1697,4352.84,Transferencia,SWIFT
1358,1695,7871.81,Reembolso,ACH
4973,2510,8137.71,Pago,Interna
4641,1980,1180.59,Pago,Interna
3564,4927,1194.44,Transferencia,ACH
2686,3885,8609.62,Transferencia,SWIFT
1059,4314,478.22,Pago,ACH
528,2483,6290.02,Reembolso,Interna
1764,3342,826.38,Pago,ACH
295,1835,8297.83,Transferencia,Interna
2337,4133,1792.61,Pago,SWIFT
3996,2774,1090.71,Transferencia,Interna
1855,541,6252.91,Pago,ACH
446,1067,4804.41,Pago,Interna
1814,3002,6656.26,Reembolso,Interna
3094,3611,7009.42,Transferencia,ACH
2870,3611,6785.41,Pago,ACH
1965,3767,756.22,Pago,Interna
3762,4613,7328.22,Pago,ACH
395,4448,4882.35,Pago,Interna
3318,1941,2552.06,Pago,Interna
272,3987,6977.85,Pago,ACH
904,4940,2335.86,Transferencia,ACH
1075,1854,7987.83,Transferencia,SWIFT
4612,514,5140.85,Pago,SWIFT
1750,608,827.76,Pago,SWIFT
842,821,1810.9,Reembolso,SWIFT
3897,4060,8323.42,Reembolso,Interna
3783,288,743.02,Transferencia,Interna
4266,1214,8881.25,Transferencia,Interna
778,3160,3760.3,Transferencia,ACH
965,2193,6518.23,Reembolso,ACH
2319,2832,8137.07,Reembolso,SWIFT
3774,1866,1545.02,Transferencia,SWIFT
211,2479,6740.42,Transferencia,Interna
3592,3161,5360.04,Transferencia,ACH
1267,2586,4679.05,Transferencia,Interna
4454,3147,784.13,Transferencia,SWIFT
4038,4057,3730.46,Transferencia,Interna
2418,3848,6254.58,Transferencia,SWIFT
1080,3396,5429.49,Reembolso,ACH
474,2040,2561.69,Transferencia,Interna
458,1186,1857.27,Pago,ACH
3225,2172,1091.66,Pago,ACH
187,582,718.65,Reembolso,SWIFT
944,4390,258.35,Pago,SWIFT
3709,3993,691.98,Reembolso,Interna
4179,4310,8786.64,Transferencia,Interna
168,4488,7310.04,Pago,Interna
843,1863,61.29,Reembolso,Interna
658,3294,2465.39,Pago,ACH
3296,1436,4202.46,Reembolso,SWIFT
2325,4400,1218.48,Reembolso,ACH
1149,661,952.25,Transferencia,ACH
832,637,6489.49,Pago,ACH
1311,2375,7543.26,Transferencia,SWIFT
4310,4658,141.96,Pago,ACH
3732,2802,4359.67,Transferencia,SWIFT
765,3481,124.15,Reembolso,Interna
1094,4628,7758.8,Pago,ACH
2624,65,1958.08,Reembolso,SWIFT
