Cliente_ID,Comercio_ID,Frecuencia,Monto_Promedio,Última_Compra
1502,628,Diario,829.2,2021-12-18
2995,1723,Diario,293.9,2022-12-17
1484,1700,Mensual,422.22,2022-06-23
1220,383,Mensual,304.42,2020-12-09
1426,1634,Semanal,140.41,2021-01-15
1656,381,Semanal,609.78,2020-05-16
372,1649,Mensual,886.05,2022-05-13
690,66,Semanal,497.44,2023-02-17
2372,1361,Semanal,978.88,2022-05-26
375,567,Semanal,331.55,2021-06-22
121,1928,Diario,414.59,2023-04-14
429,1023,Semanal,65.28,2023-02-07
1327,1764,Diario,773.53,2021-03-25
873,1422,Diario,11.05,2023-06-07
504,496,Diario,547.89,2022-09-27
326,497,Diario,313.84,2021-01-26
2370,1201,Mensual,557.46,2023-09-06
418,1298,Diario,522.28,2021-06-23
2066,224,Mensual,713.52,2022-07-16
761,9,Diario,754.72,2021-11-21
2472,1169,Mensual,829.0,2023-11-22
2016,1302,Semanal,856.51,2022-05-15
2382,1493,Mensual,417.14,2023-04-16
817,1537,Semanal,700.63,2022-03-06
1612,123,Mensual,101.28,2021-07-12
2290,1863,Semanal,630.67,2022-08-22
2758,1783,Semanal,589.72,2022-10-13
1484,1476,Diario,768.79,2021-09-26
915,801,Semanal,991.32,2021-12-16
583,1349,Semanal,75.15,2020-12-23
1590,1748,Mensual,65.55,2023-02-04
1807,15,Mensual,905.35,2021-11-02
921,21,Semanal,190.67,2020-04-15
2955,163,Diario,779.43,2020-03-12
2814,1196,Diario,202.29,2021-11-21
1177,624,Diario,962.22,2022-09-11
1792,1144,Semanal,962.87,2023-11-07
1920,988,Diario,779.85,2020-06-22
816,225,Diario,196.35,2022-08-24
477,133,Mensual,984.04,2021-10-22
2014,1212,Diario,420.64,2022-04-12
1216,981,Semanal,529.28,2021-08-03
599,469,Diario,641.67,2021-07-06
581,87,Semanal,805.08,2022-06-28
1567,634,Diario,611.18,2022-11-09
900,549,Semanal,47.17,2022-10-11
2459,1949,Mensual,245.3,2023-06-02
15,1429,Semanal,352.82,2021-11-21
2550,229,Mensual,852.1,2022-08-08
2860,914,Diario,670.82,2020-11-08
2704,277,Diario,446.15,2021-01-05
100,295,Semanal,951.32,2021-12-13
670,1821,Diario,963.36,2020-05-13
89,561,Mensual,372.32,2022-11-05
2422,461,Diario,430.52,2022-03-28
960,125,Semanal,790.93,2020-06-13
153,630,Semanal,30.64,2020-12-09
2628,1022,Diario,460.85,2023-09-08
1106,1179,Semanal,315.27,2021-12-17
2191,141,Semanal,222.5,2020-11-23
1473,1314,Mensual,875.94,2021-05-13
76,1406,Diario,529.51,2023-04-06
2946,18,Mensual,659.1,2020-11-10
2056,1116,Diario,903.29,2023-06-18
1598,926,Diario,792.1,2020-02-11
2573,642,Semanal,915.1,2023-04-29
77,1133,Diario,996.19,2022-07-21
254,145,Diario,213.73,2023-05-30
2751,1818,Semanal,343.16,2023-07-28
1678,1862,Mensual,426.38,2023-06-02
2874,506,Mensual,76.22,2021-04-25
482,208,Diario,611.36,2021-08-15
2558,1017,Semanal,963.76,2023-06-22
1308,499,Diario,608.36,2020-08-12
2201,24,Semanal,52.27,2021-01-10
531,751,Mensual,494.4,2022-06-10
576,1064,Semanal,19.0,2021-11-06
946,1629,Semanal,213.74,2021-02-02
1377,970,Diario,641.13,2023-11-29
2114,1034,Semanal,425.32,2022-02-16
402,1892,Mensual,644.29,2022-02-26
1570,367,Semanal,14.31,2023-01-05
2673,1443,Semanal,199.21,2022-02-27
497,273,Mensual,537.31,2022-03-05
204,1753,Semanal,713.09,2022-09-27
1135,173,Semanal,391.64,2023-05-15
1104,1129,Semanal,786.03,2023-03-27
1985,946,Diario,39.08,2022-03-24
961,920,Diario,433.04,2022-02-02
1041,46,Diario,555.29,2021-02-15
212,322,Semanal,98.22,2022-05-19
2403,831,Diario,730.02,2022-10-20
68,1672,Semanal,418.81,2020-07-19
874,28,Diario,458.85,2022-10-26
1163,891,Semanal,884.97,2021-10-30
59,1540,Diario,747.63,2022-04-04
407,1304,Diario,714.79,2020-08-13
222,966,Mensual,783.15,2022-11-07
149,979,Diario,83.33,2021-04-01
1696,1027,Diario,912.59,2023-10-28
2811,592,Mensual,955.23,2022-02-10
2246,1553,Mensual,826.21,2021-05-02
213,184,Semanal,462.82,2023-07-23
2420,1549,Diario,62.99,2023-07-19
1393,494,Diario,108.69,2021-09-04
98,1667,Diario,689.24,2022-04-28
1794,1354,Diario,431.85,2020-12-01
1070,1345,Diario,223.98,2023-12-29
2724,524,Mensual,266.15,2023-09-23
1099,924,Mensual,105.44,2022-04-13
680,345,Diario,936.5,2022-03-18
1642,782,Diario,218.37,2021-10-18
1035,542,Mensual,217.22,2021-12-14
355,1585,Semanal,801.0,2020-04-25
1053,195,Mensual,506.06,2022-02-14
2572,1282,Semanal,931.6,2023-11-19
864,1596,Diario,128.82,2022-09-27
363,1853,Mensual,340.49,2022-05-08
119,1692,Mensual,776.36,2020-04-24
1971,479,Mensual,986.78,2022-12-05
1855,172,Mensual,911.3,2021-08-28
2201,1236,Semanal,444.57,2022-07-19
2510,1299,Mensual,112.1,2023-10-03
2820,804,Mensual,459.92,2023-07-05
2131,1309,Semanal,802.99,2022-04-17
2054,1097,Semanal,484.38,2022-01-10
1747,1567,Mensual,615.6,2021-01-31
327,1058,Semanal,526.45,2021-06-07
2746,257,Mensual,366.15,2020-06-17
1939,1126,Mensual,565.2,2020-01-29
1568,974,Diario,512.58,2021-01-23
2604,1092,Mensual,920.82,2020-05-06
113,1305,Diario,447.0,2023-04-09
1072,178,Diario,489.13,2021-11-22
1127,515,Mensual,457.93,2023-03-31
1239,1470,Mensual,342.27,2021-12-27
2856,314,Diario,808.24,2022-10-09
1790,1755,Mensual,776.99,2022-04-12
1466,881,Semanal,921.06,2023-06-06
1469,804,Semanal,94.59,2022-02-17
2420,884,Mensual,129.69,2020-07-07
679,425,Semanal,968.0,2020-01-10
2332,1317,Mensual,80.96,2023-09-13
1202,1255,Diario,994.22,2023-12-16
1824,1342,Diario,515.95,2020-02-18
2007,1097,Semanal,614.95,2020-04-03
1911,628,Semanal,845.1,2022-06-08
2402,212,Semanal,920.29,2020-09-03
2605,1181,Diario,840.63,2023-10-17
683,86,Mensual,545.08,2020-10-04
1903,321,Semanal,689.27,2020-03-19
2340,154,Diario,431.2,2023-06-26
2554,582,Mensual,332.17,2022-01-29
171,47,Diario,371.9,2022-04-05
278,967,Semanal,396.94,2022-03-20
1531,1471,Diario,631.32,2021-07-27
2530,1251,Diario,550.94,2022-05-06
1200,1518,Diario,888.6,2022-10-15
2060,658,Mensual,912.53,2023-01-25
286,31,Mensual,822.16,2021-11-20
1135,1212,Semanal,507.76,2021-02-28
971,77,Mensual,881.36,2022-10-30
2318,1454,Diario,459.0,2022-07-16
1589,365,Diario,424.04,2020-08-15
1438,1545,Mensual,699.67,2021-01-26
2595,215,Semanal,41.12,2021-03-29
1973,772,Semanal,784.59,2023-06-29
1259,19,Mensual,661.7,2023-01-17
652,172,Mensual,137.86,2020-02-22
803,64,Mensual,115.62,2023-11-15
1670,879,Mensual,698.63,2020-06-19
1510,976,Mensual,889.84,2021-08-24
252,255,Mensual,728.16,2022-03-03
2963,126,Diario,759.36,2022-06-15
1982,297,Semanal,400.33,2021-03-10
1373,1080,Mensual,533.05,2022-08-23
2713,382,Mensual,721.15,2023-04-06
1874,1635,Diario,440.34,2020-03-09
