Cliente_ID,Cuenta_ID,Fecha_Apertura,Estado,Tipo_Cuenta
57,2101,2023-05-28,Inactiva,Ahorro
1149,659,2021-01-01,Inactiva,Corriente
232,1590,2022-03-06,Activa,Corriente
321,2675,2023-03-18,Activa,Ahorro
1763,1861,2023-08-31,Activa,Corriente
2854,1684,2020-08-12,Inactiva,Corriente
1948,1149,2023-03-12,Inactiva,Corriente
1709,1222,2020-11-14,Activa,Corriente
438,2559,2021-01-03,Inactiva,Corriente
2001,1941,2022-10-10,Inactiva,Ahorro
200,197,2021-10-24,Activa,Ahorro
2888,708,2023-12-07,Activa,Corriente
2541,152,2021-05-01,Activa,Corriente
1892,1977,2023-08-17,Activa,Ahorro
494,703,2023-04-22,Inactiva,Corriente
1572,2190,2023-09-27,Activa,Corriente
2134,2155,2021-04-18,Activa,Corriente
2855,2573,2022-08-24,Activa,Ahorro
2779,386,2022-07-16,Activa,Corriente
1534,260,2023-04-01,Activa,Ahorro
2285,915,2022-05-22,Activa,Ahorro
2823,777,2020-05-20,Inactiva,Ahorro
1331,513,2022-02-20,Activa,Ahorro
2191,1239,2021-01-17,Activa,Corriente
933,840,2023-04-26,Inactiva,Corriente
1295,2921,2023-12-02,Activa,Ahorro
816,2081,2021-01-28,Activa,Ahorro
1110,2289,2021-08-27,Activa,Corriente
196,1176,2021-10-13,Activa,Ahorro
766,1428,2023-01-27,Inactiva,Ahorro
328,1334,2022-05-04,Inactiva,Corriente
2775,227,2021-11-14,Activa,Corriente
2035,2173,2022-05-24,Activa,Corriente
2643,2778,2022-10-27,Activa,Ahorro
2834,2586,2020-02-22,Activa,Ahorro
620,473,2020-09-03,Inactiva,Ahorro
2660,268,2020-02-29,Inactiva,Corriente
2428,90,2023-11-18,Activa,Ahorro
2006,64,2022-05-27,Inactiva,Ahorro
2651,1473,2022-12-30,Inactiva,Corriente
512,1891,2021-06-28,Inactiva,Corriente
2344,2371,2021-08-04,Inactiva,Ahorro
139,2567,2023-06-12,Inactiva,Corriente
1612,1156,2021-10-12,Inactiva,Ahorro
2045,1956,2020-01-27,Inactiva,Corriente
2918,322,2021-10-18,Activa,Ahorro
748,2356,2020-07-28,Activa,Corriente
2820,1976,2021-07-30,Activa,Ahorro
805,747,2020-07-15,Activa,Corriente
24,2165,2021-03-03,Activa,Corriente
2882,914,2023-06-27,Activa,Ahorro
