Cuenta_ID,Transaccion_ID,Hora,Medio_Pago,Canal
1284,964,3:0:42,Transferencia,App
186,434,18:18:56,Transferencia,App
1066,2725,4:13:57,Efectivo,Online
72,4483,16:50:58,Transferencia,Sucursal
250,660,4:33:34,Tarjeta,Online
583,3124,8:18:54,Tarjeta,App
389,1570,12:48:58,Transferencia,Online
1513,202,1:23:6,Tarjeta,Sucursal
564,4134,5:42:43,Tarjeta,App
557,2043,15:7:0,Transferencia,Online
2716,3447,2:24:56,Tarjeta,Sucursal
1664,4040,7:19:21,Transferencia,Online
2999,2150,19:11:12,Transferencia,Sucursal
1178,2463,1:32:5,Efectivo,Sucursal
2981,1824,16:31:11,Transferencia,Online
1885,1764,13:36:3,Efectivo,Sucursal
480,391,2:12:32,Transferencia,Online
471,3895,8:15:47,Transferencia,App
628,73,0:17:10,Efectivo,Online
2755,3340,8:50:21,Tarjeta,Online
2817,2977,0:42:36,Efectivo,App
1304,1151,4:8:47,Tarjeta,Online
593,1364,5:9:40,Transferencia,App
1847,4599,0:41:43,Efectivo,Sucursal
271,2170,13:49:18,Transferencia,Sucursal
826,2417,3:9:42,Tarjeta,Online
1352,4608,9:22:3,Tarjeta,Sucursal
1685,4880,12:58:46,Efectivo,Online
502,441,2:4:2,Tarjeta,Sucursal
2807,1597,19:19:43,Efectivo,Online
1382,3643,14:33:8,Efectivo,App
899,1116,19:23:35,Transferencia,Online
1193,3194,13:21:47,Efectivo,Online
2799,345,17:18:42,Efectivo,Online
2869,3245,2:46:38,Transferencia,Online
1777,15,0:24:45,Tarjeta,Online
491,2503,9:49:28,Tarjeta,Sucursal
466,4749,18:9:5,Efectivo,App
515,3012,15:7:16,Tarjeta,App
1374,4188,11:42:2,Efectivo,Sucursal
1082,203,9:52:37,Transferencia,App
1309,4195,21:48:58,Transferencia,Online
1410,1571,20:19:49,Efectivo,Online
2654,772,13:23:29,Tarjeta,Online
1104,3040,15:33:18,Tarjeta,Sucursal
1482,3294,5:35:20,Efectivo,Online
162,1715,4:28:35,Tarjeta,Sucursal
1303,652,7:59:14,Tarjeta,Sucursal
605,2296,12:59:34,Tarjeta,App
2080,4676,14:38:24,Transferencia,Online
1815,1815,7:18:46,Efectivo,Sucursal
2475,1134,22:44:1,Transferencia,Sucursal
1701,2016,15:17:7,Efectivo,App
1296,4780,17:49:43,Tarjeta,Online
1325,1405,21:16:18,Efectivo,App
863,4392,5:47:51,Efectivo,Online
234,4774,22:50:15,Tarjeta,Online
768,777,7:34:13,Tarjeta,Online
1448,4375,13:22:49,Transferencia,Sucursal
2153,184,20:27:48,Tarjeta,Sucursal
2397,842,14:24:6,Transferencia,App
602,3297,18:9:57,Transferencia,Online
855,272,20:37:34,Efectivo,Sucursal
529,778,8:31:10,Tarjeta,Online
1940,113,12:17:37,Transferencia,Online
1524,3582,11:34:48,Transferencia,Sucursal
1860,2851,23:49:1,Efectivo,Online
1971,3478,12:30:48,Efectivo,Online
938,2721,3:41:10,Transferencia,App
2815,4233,10:44:12,Transferencia,Sucursal
1477,1479,7:33:40,Tarjeta,Online
306,3894,17:54:43,Transferencia,Sucursal
57,1400,17:16:25,Transferencia,Online
2771,261,6:37:56,Tarjeta,Online
2899,806,12:39:49,Tarjeta,Online
1144,1659,18:56:3,Tarjeta,Online
1471,2814,6:57:15,Transferencia,Sucursal
569,34,15:12:57,Efectivo,Online
1798,1058,13:1:22,Efectivo,App
1641,1718,18:39:7,Tarjeta,App
1929,1484,13:17:1,Tarjeta,App
2099,1583,13:53:39,Efectivo,Online
418,653,11:26:55,Tarjeta,Sucursal
1842,3808,21:44:51,Efectivo,Online
1176,737,17:9:49,Efectivo,Online
356,2659,23:9:9,Tarjeta,Online
2959,4989,5:29:22,Efectivo,Online
4,1365,1:30:51,Tarjeta,Sucursal
1715,2637,0:44:18,Efectivo,Sucursal
1536,31,1:40:15,Efectivo,Online
1977,477,8:28:3,Efectivo,App
374,4881,15:12:18,Efectivo,App
946,4038,10:40:31,Efectivo,Online
977,4676,8:33:36,Transferencia,Sucursal
473,2003,7:12:1,Tarjeta,Sucursal
2435,720,23:24:31,Efectivo,App
1558,3901,23:57:18,Tarjeta,Online
2978,1307,2:0:45,Transferencia,Sucursal
2343,4430,10:42:18,Transferencia,Online
2165,4913,6:18:36,Tarjeta,App
2518,2469,16:4:14,Efectivo,Online
2061,1322,22:43:51,Tarjeta,Online
222,2102,6:13:36,Transferencia,Sucursal
86,2506,8:38:46,Tarjeta,App
988,3706,21:48:12,Transferencia,App
2412,2071,1:58:43,Efectivo,Online
1400,4648,11:38:21,Efectivo,Online
1923,2025,5:28:4,Tarjeta,Sucursal
1584,4851,20:40:49,Efectivo,Online
2091,3914,15:49:42,Efectivo,Online
502,512,3:7:46,Transferencia,Sucursal
550,2893,6:29:48,Tarjeta,Sucursal
2887,1458,0:55:32,Transferencia,App
2108,4777,17:19:10,Transferencia,App
2262,3489,13:20:55,Efectivo,Sucursal
2961,3249,19:51:6,Tarjeta,Online
2845,3148,15:17:19,Transferencia,App
1308,2758,9:48:59,Transferencia,Sucursal
1392,4456,5:48:57,Efectivo,Online
2818,245,16:6:51,Efectivo,Sucursal
717,2534,10:13:28,Transferencia,Online
1130,2621,9:54:25,Tarjeta,App
2205,3650,16:0:31,Tarjeta,Sucursal
180,3316,3:5:58,Transferencia,Sucursal
1183,3255,16:50:15,Efectivo,App
2092,1682,7:54:25,Efectivo,Sucursal
1270,2342,9:0:47,Tarjeta,App
1723,2679,18:34:47,Transferencia,Online
2405,4071,4:57:54,Transferencia,Online
2416,769,16:16:29,Transferencia,Online
831,598,12:29:11,Transferencia,App
1741,2614,22:45:33,Tarjeta,App
1228,1341,21:54:55,Efectivo,App
592,4606,23:26:58,Tarjeta,Online
529,3987,16:18:15,Tarjeta,Online
55,4221,10:47:54,Tarjeta,Online
261,2723,7:23:52,Tarjeta,App
