Cliente_ID_1,Cliente_ID_2,Fecha_Registro,Tipo_Recomendación,Nivel_Confianza
2884,2406,2020-05-19,Amigo,Alto
2211,2943,2022-07-26,Familiar,Medio
2455,692,2020-06-19,Amigo,Alto
1086,2175,2021-01-10,Familiar,Bajo
2131,2997,2020-01-18,Amigo,Bajo
1751,2161,2020-07-21,Familiar,Bajo
1478,590,2020-08-12,Amigo,Medio
137,1363,2022-05-19,Amigo,Medio
1527,2374,2022-12-25,Amigo,Medio
1607,308,2021-08-19,Amigo,Medio
921,2786,2021-11-13,Amigo,Alto
1741,1718,2022-01-04,Familiar,Medio
2787,2358,2020-11-05,Amigo,Medio
1941,2540,2023-08-18,Familiar,Medio
47,766,2020-11-10,Familiar,Medio
2486,1189,2021-07-14,Amigo,Alto
2691,1301,2020-12-16,Familiar,Medio
348,123,2021-01-08,Amigo,Medio
1188,2939,2022-06-13,Familiar,Alto
1225,2070,2020-05-02,Amigo,Medio
2811,1291,2021-05-08,Familiar,Alto
2267,2937,2020-03-21,Familiar,Medio
2749,269,2023-04-28,Familiar,Medio
216,1810,2020-03-26,Familiar,Bajo
888,177,2022-08-29,Amigo,Bajo
1328,2543,2021-09-20,Familiar,Bajo
1946,2044,2022-08-05,Familiar,Bajo
2090,493,2023-10-05,Amigo,Alto
2452,1052,2020-07-31,Amigo,Medio
539,2542,2020-10-07,Familiar,Alto
1639,2031,2021-08-23,Familiar,Medio
501,826,2020-10-03,Amigo,Bajo
2352,2527,2021-04-03,Familiar,Bajo
2801,815,2023-11-16,Familiar,Medio
1333,823,2021-05-19,Familiar,Medio
38,371,2022-12-15,Amigo,Medio
1421,2360,2022-09-27,Amigo,Alto
1573,649,2022-10-10,Familiar,Alto
2186,1572,2021-08-27,Amigo,Bajo
193,1011,2021-08-21,Amigo,Bajo
2855,2872,2020-08-24,Familiar,Alto
653,2168,2020-07-05,Familiar,Medio
1267,1358,2023-07-26,Familiar,Bajo
752,1207,2021-03-18,Amigo,Alto
282,287,2023-06-09,Familiar,Alto
2211,68,2022-07-27,Amigo,Medio
1652,1222,2020-07-16,Familiar,Alto
2219,2771,2020-04-22,Amigo,Medio
727,1333,2020-09-02,Amigo,Medio
2775,2666,2022-08-06,Familiar,Bajo
2010,1482,2022-11-01,Familiar,Bajo
719,979,2022-02-23,Familiar,Bajo
2700,2397,2020-07-15,Familiar,Alto
706,965,2020-12-26,Familiar,Medio
720,734,2021-08-17,Familiar,Alto
2017,1630,2023-08-13,Amigo,Bajo
1834,2222,2023-03-14,Amigo,Medio
2090,1223,2020-05-13,Familiar,Alto
2506,2353,2020-10-30,Amigo,Medio
1214,1739,2021-08-14,Amigo,Alto
639,215,2023-05-25,Familiar,Alto
2449,1591,2021-10-26,Familiar,Medio
2618,2056,2020-09-07,Amigo,Medio
493,1845,2021-01-16,Amigo,Bajo
1580,2907,2021-03-19,Familiar,Bajo
388,1187,2021-06-26,Amigo,Medio
2731,1754,2023-08-23,Familiar,Medio
1679,1892,2023-11-07,Familiar,Alto
2344,466,2021-04-13,Familiar,Medio
2941,2886,2020-10-17,Amigo,Bajo
2117,728,2021-04-05,Amigo,Medio
2951,1131,2022-11-16,Amigo,Medio
2729,2673,2022-05-13,Amigo,Bajo
93,703,2022-08-25,Familiar,Alto
2593,2752,2022-11-14,Familiar,Medio
1183,1136,2021-01-24,Familiar,Medio
919,649,2021-06-21,Familiar,Medio
2812,1794,2023-04-24,Amigo,Medio
1500,1172,2021-08-05,Amigo,Alto
703,2842,2023-01-03,Amigo,Alto
1795,2550,2021-07-24,Amigo,Medio
2165,2799,2023-01-24,Amigo,Alto
2032,1183,2022-03-22,Amigo,Bajo
751,1679,2023-12-13,Familiar,Bajo
1531,2806,2022-07-30,Familiar,Bajo
15,1400,2020-03-31,Amigo,Bajo
537,202,2022-06-27,Amigo,Alto
666,98,2023-12-07,Amigo,Alto
892,981,2020-12-14,Familiar,Bajo
2537,2908,2022-02-18,Familiar,Bajo
2646,2552,2022-02-02,Amigo,Bajo
24,893,2021-05-01,Familiar,Bajo
157,2129,2023-12-01,Familiar,Bajo
316,1125,2023-08-10,Familiar,Bajo
2167,1609,2021-08-15,Familiar,Bajo
809,354,2021-02-05,Amigo,Medio
978,2129,2022-09-27,Familiar,Bajo
2656,2491,2023-08-25,Familiar,Alto
1802,1301,2022-01-07,Amigo,Alto
2528,929,2020-03-25,Familiar,Bajo
1652,2177,2022-03-04,Familiar,Medio
198,492,2022-08-23,Amigo,Bajo
641,2319,2022-01-03,Familiar,Bajo
150,2622,2021-05-22,Amigo,Alto
1038,714,2023-07-06,Amigo,Alto
2743,468,2022-01-20,Amigo,Bajo
1975,1857,2022-09-16,Amigo,Alto
2148,2183,2023-04-05,Familiar,Medio
2694,628,2021-07-09,Amigo,Medio
1525,2556,2023-12-16,Familiar,Medio
2119,782,2020-04-03,Amigo,Medio
1942,96,2023-11-14,Amigo,Alto
137,1790,2020-09-05,Amigo,Medio
1564,1339,2020-10-10,Familiar,Medio
1010,2153,2020-01-20,Familiar,Bajo
75,561,2021-01-31,Amigo,Bajo
2156,1962,2023-07-19,Familiar,Alto
1246,1617,2023-10-11,Familiar,Medio
1819,558,2020-05-13,Familiar,Alto
2052,974,2022-02-25,Familiar,Bajo
352,976,2021-05-28,Familiar,Alto
1377,2742,2021-07-28,Familiar,Bajo
2566,1175,2023-04-04,Familiar,Medio
2862,1557,2023-10-12,Amigo,Alto
2527,2565,2023-11-13,Amigo,Bajo
2140,309,2023-06-23,Familiar,Alto
1138,370,2021-08-21,Amigo,Medio
1351,2956,2021-12-16,Amigo,Medio
815,348,2021-10-10,Familiar,Medio
2877,2986,2023-06-05,Amigo,Bajo
122,2711,2023-09-13,Amigo,Medio
2609,1824,2021-11-05,Amigo,Alto
2309,735,2020-06-19,Familiar,Medio
163,1134,2020-12-25,Amigo,Medio
1972,2155,2021-09-17,Amigo,Bajo
2153,1242,2020-07-10,Familiar,Alto
589,1471,2020-02-15,Amigo,Bajo
571,2735,2022-05-01,Familiar,Medio
710,676,2023-01-19,Familiar,Medio
2715,890,2021-11-07,Amigo,Bajo
2501,301,2023-04-15,Familiar,Alto
2163,2315,2022-09-16,Amigo,Alto
639,218,2021-12-01,Amigo,Bajo
493,578,2020-07-21,Amigo,Medio
1960,1998,2023-07-24,Familiar,Medio
593,1605,2020-12-25,Familiar,Bajo
2267,432,2020-11-16,Familiar,Alto
309,1130,2023-09-18,Amigo,Medio
416,1045,2021-01-19,Amigo,Medio
859,2468,2021-02-03,Amigo,Alto
190,1019,2022-08-30,Amigo,Bajo
395,1154,2020-05-07,Amigo,Alto
1081,2512,2022-11-17,Amigo,Medio
1533,713,2021-06-28,Amigo,Alto
2765,919,2023-02-28,Amigo,Alto
