Cliente_ID,Tarjeta_ID,Tipo_Tarjeta,Banco_Emisor,Límite_Crédito
2692,2559,Débito,Banco B,27235.87
1654,779,Débito,Banco A,14712.68
1269,2075,Crédito,Banco C,28452.93
1969,2279,Crédito,Banco C,18914.24
627,1006,Débito,Banco B,26706.32
1590,2221,Crédito,Banco B,49045.92
1665,122,Crédito,Banco B,6156.34
1311,1494,Crédito,Banco C,4586.21
260,1843,Crédito,Banco A,6465.47
428,2389,Crédito,Banco A,38783.09
470,1034,Crédito,Banco C,48380.79
2046,166,Crédito,Banco C,9317.34
765,2567,Débito,Banco B,33355.14
722,11,Débito,Banco C,32371.72
1564,1602,Débito,Banco B,31304.57
2856,1519,Crédito,Banco A,9776.36
2644,1475,Débito,Banco A,4712.88
2396,1924,Débito,Banco C,7238.7
1980,49,Crédito,Banco C,27414.73
2066,1225,Crédito,Banco C,40108.93
473,1854,Débito,Banco A,36872.8
909,1532,Débito,Banco A,47996.36
2822,2906,Débito,Banco B,30202.09
1668,1051,Débito,Banco C,27595.06
766,1691,Crédito,Banco A,12069.79
1404,712,Crédito,Banco C,29556.79
480,1516,Crédito,Banco C,5975.04
118,610,Crédito,Banco C,38447.04
91,1734,Débito,Banco B,45125.13
1820,346,Crédito,Banco C,40246.91
2783,2202,Crédito,Banco C,4251.86
336,1367,Crédito,Banco A,19638.89
1522,2792,Crédito,Banco A,20641.33
1087,1471,Débito,Banco C,37036.37
1789,1817,Crédito,Banco A,43892.06
404,2165,Crédito,Banco B,48429.7
2508,183,Crédito,Banco A,45239.66
2375,1677,Débito,Banco B,12457.44
832,1186,Crédito,Banco C,20656.28
2827,544,Crédito,Banco B,12044.01
2563,398,Débito,Banco A,31207.27
1764,286,Débito,Banco C,19249.74
1683,2018,Débito,Banco B,26335.02
428,1559,Crédito,Banco B,4255.82
2771,80,Crédito,Banco C,41601.15
2068,379,Crédito,Banco A,48622.26
931,315,Débito,Banco B,14417.72
2256,913,Crédito,Banco A,27456.01
423,651,Crédito,Banco A,32767.11
1701,1660,Débito,Banco C,40141.76
835,1950,Débito,Banco A,31257.57
538,2022,Crédito,Banco C,27830.99
2702,838,Débito,Banco A,49534.52
1039,332,Crédito,Banco B,44585.69
1770,312,Crédito,Banco C,1901.14
2130,1534,Débito,Banco A,34375.26
2000,1673,Crédito,Banco B,3363.42
2964,220,Débito,Banco B,29945.14
1443,202,Débito,Banco A,31417.94
422,422,Crédito,Banco A,602.96
2631,1243,Débito,Banco B,37442.64
1748,2251,Débito,Banco C,717.9
1100,1602,Débito,Banco C,13381.75
133,848,Crédito,Banco A,31230.89
1953,1085,Débito,Banco C,13112.61
468,1040,Crédito,Banco A,26038.76
690,527,Crédito,Banco A,17129.17
2792,2596,Crédito,Banco A,46249.26
1553,1869,Débito,Banco B,34530.53
122,38,Crédito,Banco C,3627.28
184,2934,Crédito,Banco B,7145.28
1071,1095,Débito,Banco A,19595.23
392,2725,Crédito,Banco C,37002.85
2363,1875,Débito,Banco C,46642.92
2847,1753,Crédito,Banco C,44647.52
1953,1793,Débito,Banco B,19748.28
561,1236,Débito,Banco B,17830.32
2776,1524,Débito,Banco B,33254.56
398,2592,Débito,Banco B,11067.16
1037,234,Débito,Banco C,14787.52
2165,2871,Débito,Banco A,9469.56
439,813,Crédito,Banco C,48259.06
705,2236,Débito,Banco B,47718.64
929,2543,Crédito,Banco B,4378.34
2511,389,Débito,Banco A,36026.2
2799,42,Débito,Banco C,12709.11
2922,877,Débito,Banco C,20730.15
2947,1196,Débito,Banco B,30218.03
1466,1041,Débito,Banco C,32997.88
2073,1927,Débito,Banco A,14157.2
1311,610,Débito,Banco A,12379.01
377,1265,Débito,Banco B,32278.62
865,420,Débito,Banco B,35469.28
1736,1218,Crédito,Banco A,46379.21
1160,1079,Débito,Banco B,41387.52
2857,237,Débito,Banco B,34877.24
946,1046,Débito,Banco B,1123.55
212,2001,Crédito,Banco B,11967.15
376,35,Crédito,Banco A,38833.22
2863,2632,Débito,Banco A,40037.0
647,2688,Crédito,Banco B,5747.91
1595,2500,Débito,Banco A,16110.4
1724,1115,Débito,Banco A,33304.76
2397,2802,Crédito,Banco C,42988.14
1779,77,Débito,Banco C,8531.63
2044,24,Crédito,Banco A,35716.73
325,1943,Crédito,Banco C,13062.38
2361,646,Débito,Banco A,37905.04
1653,1768,Crédito,Banco A,19628.54
1155,774,Débito,Banco B,8605.3
2506,493,Débito,Banco C,4312.65
93,2359,Crédito,Banco A,29504.84
1941,1851,Crédito,Banco B,49988.53
2407,793,Débito,Banco C,32128.44
1674,820,Crédito,Banco A,40546.95
2802,942,Crédito,Banco C,32853.45
2341,173,Débito,Banco B,18579.09
2776,1432,Crédito,Banco B,25905.61
1571,80,Crédito,Banco B,47668.28
82,379,Débito,Banco B,2444.25
90,968,Crédito,Banco B,48755.48
