Transaccion_ID,Monto,Fecha,Tipo,Canal
1,7096.892559038952,2023-01-01 00:00:00,Retiro,Banca en Línea
2,6047.568034254655,2023-01-01 01:00:00,Compra,Cajero
3,7074.820863970428,2023-01-01 02:00:00,Transferencia,Banca en Línea
4,392.19484906921264,2023-01-01 03:00:00,Compra,Cajero
5,5818.466664785481,2023-01-01 04:00:00,Retiro,Banca en Línea
6,8879.627204916062,2023-01-01 05:00:00,Retiro,Sucursal
7,4295.008299409744,2023-01-01 06:00:00,Retiro,Banca en Línea
8,2533.1798313543236,2023-01-01 07:00:00,Compra,Banca en Línea
9,2254.5236829426663,2023-01-01 08:00:00,Transferencia,Sucursal
10,9215.691682605297,2023-01-01 09:00:00,Retiro,Sucursal
11,7078.570982138161,2023-01-01 10:00:00,Retiro,Banca en Línea
12,1050.7924651520018,2023-01-01 11:00:00,Retiro,Cajero
13,4663.050196355789,2023-01-01 12:00:00,Retiro,Sucursal
14,6767.493421198627,2023-01-01 13:00:00,Retiro,Cajero
15,5160.756155588003,2023-01-01 14:00:00,Transferencia,Sucursal
16,7880.893265568175,2023-01-01 15:00:00,Retiro,Sucursal
17,185.88579114999538,2023-01-01 16:00:00,Retiro,Cajero
18,8761.847212902889,2023-01-01 17:00:00,Transferencia,Cajero
19,923.6001167548206,2023-01-01 18:00:00,Compra,Cajero
20,136.31669144208846,2023-01-01 19:00:00,Transferencia,Banca en Línea
21,4313.470261069734,2023-01-01 20:00:00,Retiro,Cajero
22,1433.2413662498873,2023-01-01 21:00:00,Transferencia,Cajero
23,7503.854734718975,2023-01-01 22:00:00,Retiro,Cajero
24,2455.5484285552343,2023-01-01 23:00:00,Retiro,Banca en Línea
25,9705.629321507171,2023-01-02 00:00:00,Compra,Sucursal
26,1839.0671231898468,2023-01-02 01:00:00,Compra,Sucursal
27,4344.06230547848,2023-01-02 02:00:00,Transferencia,Cajero
28,6927.703794097243,2023-01-02 03:00:00,Transferencia,Cajero
29,3788.1385312495236,2023-01-02 04:00:00,Compra,Cajero
30,8859.033423710436,2023-01-02 05:00:00,Transferencia,Sucursal
31,2010.971112601662,2023-01-02 06:00:00,Compra,Sucursal
32,6685.270823265604,2023-01-02 07:00:00,Transferencia,Cajero
33,9907.42646819648,2023-01-02 08:00:00,Compra,Cajero
34,9540.53689986846,2023-01-02 09:00:00,Transferencia,Sucursal
35,6992.470092122197,2023-01-02 10:00:00,Retiro,Cajero
36,7537.495756452136,2023-01-02 11:00:00,Transferencia,Sucursal
37,3675.8771826440307,2023-01-02 12:00:00,Retiro,Cajero
38,8538.448551643614,2023-01-02 13:00:00,Retiro,Sucursal
39,5195.888752399059,2023-01-02 14:00:00,Transferencia,Banca en Línea
40,2228.4374788676564,2023-01-02 15:00:00,Compra,Cajero
41,4968.976464135581,2023-01-02 16:00:00,Transferencia,Cajero
42,3764.9706401453254,2023-01-02 17:00:00,Retiro,Banca en Línea
43,9265.533060695741,2023-01-02 18:00:00,Compra,Cajero
44,3416.230413539367,2023-01-02 19:00:00,Transferencia,Cajero
45,2031.8737636888866,2023-01-02 20:00:00,Retiro,Cajero
46,395.8102413918137,2023-01-02 21:00:00,Compra,Banca en Línea
47,3472.4801098859934,2023-01-02 22:00:00,Transferencia,Sucursal
48,1142.0830201135461,2023-01-02 23:00:00,Retiro,Banca en Línea
49,3842.731508318541,2023-01-03 00:00:00,Transferencia,Sucursal
50,4333.597355958406,2023-01-03 01:00:00,Compra,Sucursal
51,7602.882664874724,2023-01-03 02:00:00,Transferencia,Sucursal
52,3664.8970578883736,2023-01-03 03:00:00,Transferencia,Sucursal
53,8868.64732088042,2023-01-03 04:00:00,Retiro,Banca en Línea
54,7844.770745722406,2023-01-03 05:00:00,Transferencia,Sucursal
55,2292.489481797237,2023-01-03 06:00:00,Transferencia,Sucursal
56,224.4872148778998,2023-01-03 07:00:00,Retiro,Banca en Línea
57,7616.5315763571625,2023-01-03 08:00:00,Retiro,Cajero
58,9927.356864215299,2023-01-03 09:00:00,Compra,Cajero
59,6435.592689285408,2023-01-03 10:00:00,Retiro,Cajero
60,9318.881232264717,2023-01-03 11:00:00,Retiro,Banca en Línea
61,1217.0800786610512,2023-01-03 12:00:00,Transferencia,Cajero
62,1581.872734355797,2023-01-03 13:00:00,Compra,Sucursal
63,8803.31496863222,2023-01-03 14:00:00,Retiro,Cajero
64,6990.784261668522,2023-01-03 15:00:00,Retiro,Sucursal
65,2710.6069518940835,2023-01-03 16:00:00,Compra,Sucursal
66,3571.668559902092,2023-01-03 17:00:00,Retiro,Banca en Línea
67,7665.27373447684,2023-01-03 18:00:00,Transferencia,Sucursal
68,6199.069301337713,2023-01-03 19:00:00,Compra,Cajero
69,8737.768670348645,2023-01-03 20:00:00,Transferencia,Cajero
70,8669.015084196837,2023-01-03 21:00:00,Compra,Banca en Línea
71,3933.748890777689,2023-01-03 22:00:00,Transferencia,Cajero
72,1455.6779624610515,2023-01-03 23:00:00,Compra,Cajero
73,9314.72812854248,2023-01-04 00:00:00,Retiro,Sucursal
74,3996.332352539113,2023-01-04 01:00:00,Retiro,Banca en Línea
75,5492.581128020359,2023-01-04 02:00:00,Compra,Banca en Línea
76,2088.8503610755274,2023-01-04 03:00:00,Compra,Sucursal
77,3512.2354040764358,2023-01-04 04:00:00,Compra,Banca en Línea
78,4824.440190386416,2023-01-04 05:00:00,Compra,Sucursal
79,3541.9517598034818,2023-01-04 06:00:00,Transferencia,Sucursal
80,1332.8447013670207,2023-01-04 07:00:00,Retiro,Sucursal
