Comercio_ID,Ubicacion_ID,Fecha_Registro,Código_Postal,Región
404,1704,2023-09-23,7326,Sur
1652,149,2022-05-03,9632,Norte
208,582,2023-12-03,4829,Norte
394,1823,2020-12-23,7946,Sur
214,770,2020-11-14,6760,Sur
1043,1642,2020-05-27,3361,Sur
1116,320,2023-11-18,5766,Sur
1330,456,2023-07-31,4596,Norte
1016,1316,2022-04-25,2327,Centro
1291,1280,2023-10-03,6039,Sur
288,1600,2023-05-31,7303,Norte
1947,894,2021-07-08,8050,Sur
541,1756,2020-11-15,6957,Centro
921,945,2022-08-29,5696,Sur
1325,1953,2020-04-19,2177,Sur
1975,1279,2023-12-29,9226,Sur
422,181,2020-04-23,8678,Norte
689,1813,2023-01-14,7029,Centro
422,524,2022-11-18,1008,Centro
272,105,2020-11-10,5923,Sur
104,468,2022-09-27,4614,Sur
51,508,2023-05-08,5408,Sur
1435,1821,2020-12-14,8718,Centro
1257,1585,2020-05-29,3957,Centro
764,368,2023-06-11,7209,Norte
598,1559,2021-06-14,7555,Centro
1902,1297,2020-12-06,8898,Norte
32,698,2023-09-03,6518,Norte
1967,289,2021-08-10,6040,Sur
911,1851,2020-10-19,2861,Norte
1618,1837,2023-03-28,2342,Centro
877,1876,2021-06-02,6996,Sur
567,51,2022-09-21,2667,Centro
1866,404,2021-06-24,4522,Sur
1040,1487,2021-05-20,7139,Centro
1640,1205,2023-07-25,9148,Norte
1251,1549,2020-06-20,4027,Sur
119,1117,2023-07-05,4446,Norte
1466,810,2022-09-11,1993,Norte
1086,1779,2020-09-15,7744,Sur
1702,933,2020-02-22,1493,Norte
1796,1107,2022-03-24,6436,Centro
633,1595,2023-07-28,7241,Centro
1046,1226,2022-03-15,8789,Centro
872,695,2020-01-09,7323,Sur
1454,858,2021-03-14,6281,Centro
1071,1518,2022-10-21,4078,Centro
1270,1478,2020-08-08,1200,Norte
123,228,2021-04-01,8874,Norte
149,738,2023-08-30,5152,Sur
1159,903,2023-10-08,3575,Centro
1246,1785,2022-01-02,2369,Norte
1316,875,2022-08-14,5174,Sur
48,742,2022-08-26,4850,Sur
1881,1897,2020-11-06,3634,Centro
406,987,2023-12-23,9501,Norte
257,840,2022-11-23,6950,Centro
751,260,2020-05-13,2833,Centro
1153,1433,2020-04-08,3014,Centro
762,1045,2020-04-18,9990,Sur
994,438,2023-05-11,3207,Centro
1863,1873,2023-04-18,5567,Centro
418,87,2023-09-24,3685,Sur
1309,938,2022-06-29,6096,Centro
1548,1869,2020-04-06,8409,Norte
1411,1875,2021-07-22,2468,Norte
1835,100,2022-11-15,8018,Centro
1742,1296,2020-01-15,8614,Sur
1984,670,2020-03-28,9311,Sur
636,1984,2021-06-10,9924,Sur
1912,185,2023-10-01,7785,Norte
1868,1821,2021-06-08,8630,Sur
1659,572,2022-10-25,9582,Centro
1892,787,2021-11-06,5331,Centro
1259,1565,2023-06-29,9381,Sur
620,1771,2021-10-05,1186,Sur
1162,504,2020-02-14,5778,Centro
1754,479,2022-10-19,8314,Sur
327,221,2020-06-18,4182,Sur
652,1912,2020-02-18,7175,Norte
319,576,2020-04-15,6555,Sur
119,79,2023-03-13,6226,Sur
1530,1284,2023-11-21,1815,Centro
1786,1751,2021-08-07,6964,Norte
277,1829,2021-11-21,6505,Norte
1224,891,2022-10-19,4744,Sur
1343,576,2021-12-06,6838,Centro
1488,1579,2023-05-21,4442,Sur
926,451,2022-10-12,9027,Sur
516,1091,2020-02-24,6149,Sur
1879,1502,2020-08-06,8683,Centro
568,183,2022-10-24,1243,Norte
972,1400,2022-01-22,6032,Centro
595,179,2021-08-31,8415,Centro
146,1158,2020-10-21,7328,Centro
1333,930,2023-04-05,7653,Norte
1770,1922,2022-11-25,5697,Sur
1546,172,2021-06-04,9008,Norte
90,1669,2021-12-28,9800,Sur
1790,619,2020-01-27,2783,Centro
1270,1303,2022-09-01,8976,Norte
661,474,2020-05-26,3423,Centro
903,1949,2023-06-28,9102,Norte
704,492,2021-06-16,3712,Centro
355,1150,2020-04-02,7203,Sur
1221,201,2022-01-15,4705,Centro
1364,1018,2020-01-25,6192,Centro
1373,1169,2023-04-20,7435,Sur
1855,1944,2022-04-11,8244,Sur
435,1376,2021-08-13,1500,Sur
365,313,2023-05-05,3430,Sur
1336,1048,2020-10-11,2150,Sur
922,1258,2020-05-01,8719,Centro
1537,1477,2022-05-16,2237,Centro
636,156,2023-12-20,8623,Centro
1914,102,2022-04-25,6422,Centro
1901,1389,2022-07-26,6387,Sur
607,1132,2022-11-19,5059,Sur
1850,1383,2022-11-24,4657,Sur
35,693,2023-08-13,8921,Norte
1047,1429,2023-05-03,1737,Sur
226,1665,2022-01-04,6136,Norte
1584,784,2021-05-25,7997,Norte
577,1226,2020-03-24,5590,Sur
1597,848,2020-02-10,5912,Norte
1400,1357,2023-09-27,7678,Centro
756,181,2021-11-15,7446,Sur
310,1712,2021-06-06,3299,Sur
1458,1300,2022-02-04,7763,Centro
1457,1526,2021-11-15,3608,Sur
335,1598,2020-05-02,1767,Norte
1773,953,2022-09-06,8010,Norte
640,1920,2023-09-21,1876,Centro
1969,1552,2021-02-01,2607,Sur
1479,237,2023-03-31,5398,Sur
139,173,2020-09-06,5043,Norte
1135,429,2023-06-25,8709,Norte
923,1275,2021-06-27,1368,Centro
1295,119,2023-08-24,7961,Norte
302,1738,2021-12-25,9411,Centro
392,1881,2020-01-15,2870,Norte
1077,1534,2022-07-08,4344,Sur
283,1042,2023-03-21,7027,Norte
1599,1153,2020-08-28,7099,Sur
791,420,2021-04-07,6392,Norte
767,1669,2023-07-09,4949,Centro
3,917,2023-10-07,4558,Centro
1304,214,2021-07-01,2426,Sur
1441,1053,2021-06-07,9948,Centro
1532,625,2020-03-19,9906,Norte
630,1198,2023-05-12,7945,Centro
148,1609,2022-12-04,9695,Centro
506,1142,2023-01-20,7819,Sur
176,460,2023-10-07,3054,Sur
156,728,2022-10-28,3040,Norte
1101,446,2020-04-30,3447,Sur
1263,1125,2022-03-08,1299,Norte
918,1323,2020-01-25,2883,Centro
533,946,2020-10-29,3257,Norte
1397,1298,2022-06-27,1626,Centro
1768,1700,2020-06-15,7582,Centro
235,459,2021-01-16,9743,Centro
875,1684,2020-09-14,8880,Sur
47,271,2020-07-03,2272,Norte
1752,1803,2020-07-19,7161,Sur
836,1874,2020-08-06,5624,Sur
613,400,2023-07-24,7888,Norte
1729,1919,2021-02-28,7885,Sur
109,812,2021-12-25,2260,Centro
1176,275,2020-09-26,6593,Norte
1344,180,2021-07-31,5602,Norte
11,964,2020-10-12,3713,Centro
541,1653,2022-01-05,9387,Sur
202,1540,2020-03-24,4548,Sur
1359,1124,2021-07-23,6409,Norte
1453,788,2020-04-13,5102,Norte
400,1172,2023-01-24,9114,Centro
1861,95,2021-05-27,4793,Sur
1434,746,2021-11-12,6896,Sur
1916,1665,2023-05-19,9281,Centro
282,1028,2021-11-07,3998,Sur
1368,1125,2020-09-27,4094,Sur
1371,406,2021-03-12,1556,Norte
376,860,2020-04-25,2858,Centro
1339,193,2022-05-18,5736,Centro
1363,1004,2023-04-21,5573,Norte
116,1307,2020-04-09,8966,Norte
935,951,2020-07-06,7672,Centro
1959,1839,2021-09-09,7422,Centro
1813,1002,2020-06-05,4397,Sur
1841,508,2022-08-28,2984,Sur
1499,1015,2023-01-13,6914,Norte
596,903,2021-07-21,7016,Norte
962,182,2022-05-27,4000,Norte
631,1761,2022-10-08,3370,Sur
11,301,2021-05-28,2613,Centro
881,71,2023-05-28,5814,Norte
1361,1806,2023-08-04,3087,Norte
1062,1510,2023-10-03,5154,Centro
796,1828,2021-08-14,6859,Centro
181,342,2023-12-30,7187,Norte
756,909,2021-08-20,2707,Centro
1929,777,2023-03-05,6500,Centro
1195,357,2021-03-04,5902,Sur
617,1586,2022-01-24,7291,Sur
1441,1163,2022-01-11,5338,Norte
1743,1602,2020-12-20,8893,Norte
1658,284,2020-05-08,6478,Sur
423,1710,2022-10-29,7265,Sur
264,1176,2022-01-31,8551,Norte
405,274,2020-09-19,8000,Centro
1459,735,2023-03-09,8630,Norte
856,32,2023-10-30,5660,Norte
1044,1300,2020-09-09,9289,Centro
703,733,2020-05-14,1624,Norte
1041,1198,2023-10-17,3215,Sur
1416,1777,2021-03-24,8895,Norte
1835,1748,2023-12-01,2953,Norte
685,1994,2023-09-12,4754,Sur
663,251,2021-10-04,3281,Sur
1952,883,2023-05-06,8743,Sur
1855,217,2021-03-27,6768,Centro
1712,472,2022-07-29,6814,Sur
731,1156,2022-01-16,5628,Sur
20,983,2022-04-19,7423,Norte
1820,1600,2023-09-07,2282,Sur
1876,1262,2020-02-24,2352,Centro
1070,179,2023-03-31,7995,Sur
1046,574,2022-04-17,5856,Norte
958,1234,2023-08-21,2107,Centro
1235,1656,2021-12-06,5722,Centro
764,1841,2021-08-26,3612,Sur
1058,619,2023-11-07,2250,Sur
1702,963,2020-04-11,1396,Centro
1290,1047,2021-04-08,1130,Centro
741,1454,2021-08-24,2665,Sur
1700,1941,2020-06-06,1387,Sur
809,1454,2020-09-26,2045,Centro
1250,1016,2020-09-30,2504,Centro
493,1154,2022-04-27,2200,Norte
962,73,2021-09-29,4888,Norte
831,1592,2021-04-10,1995,Norte
1479,1367,2022-05-12,4858,Norte
1216,866,2022-04-01,9289,Sur
252,1124,2020-11-22,5049,Sur
79,511,2021-12-04,4392,Centro
1289,1386,2021-03-11,5695,Centro
738,1073,2023-11-26,8748,Norte
597,64,2021-02-02,7391,Centro
58,298,2022-07-24,9911,Centro
1614,451,2021-12-17,7890,Norte
493,280,2020-10-10,8398,Sur
1381,1102,2021-09-07,7561,Sur
1455,1733,2021-06-19,1558,Centro
1156,424,2023-09-30,5748,Sur
680,1412,2023-08-13,1247,Centro
988,8,2023-02-14,5178,Norte
1852,1346,2022-05-06,6917,Centro
1634,1192,2023-05-03,5217,Norte
651,1741,2022-10-14,7426,Sur
512,287,2023-07-15,9912,Norte
1818,520,2023-11-24,2019,Centro
1234,29,2021-07-01,7003,Norte
1550,237,2022-03-24,8522,Sur
413,1177,2021-04-17,8132,Sur
616,1467,2022-06-17,7654,Norte
951,1568,2022-06-02,9422,Norte
1546,833,2022-02-14,7820,Centro
1134,1463,2022-09-30,3530,Centro
595,1961,2022-01-27,8521,Sur
1734,1153,2023-03-08,4963,Centro
1331,148,2020-10-24,6425,Norte
1935,948,2021-08-15,2202,Sur
596,435,2023-05-10,3556,Sur
205,1630,2021-12-31,4702,Sur
905,1017,2023-08-24,6149,Centro
1424,1402,2023-10-12,7768,Norte
845,1298,2022-05-17,3026,Centro
1235,974,2022-11-07,7466,Centro
946,1504,2022-03-17,3288,Centro
1173,922,2023-09-13,7616,Norte
1911,351,2021-04-14,6319,Sur
1724,129,2020-02-01,6712,Sur
84,1253,2022-04-30,2929,Sur
1840,431,2023-07-16,1454,Sur
1452,244,2022-04-08,1049,Norte
344,819,2022-03-20,7903,Centro
1306,1833,2023-05-10,8718,Sur
401,1281,2022-04-12,3410,Sur
769,85,2021-10-20,8578,Sur
1656,416,2022-01-16,4629,Centro
241,413,2022-11-11,4205,Norte
1468,607,2021-03-08,7189,Centro
1539,257,2020-11-28,1176,Centro
1911,1217,2020-11-29,2713,Sur
23,786,2020-06-28,1564,Centro
197,757,2021-09-02,4989,Centro
1517,326,2020-01-04,3999,Centro
1548,127,2022-02-09,8418,Norte
982,1726,2023-05-28,6078,Centro
922,590,2020-04-28,1700,Sur
111,839,2023-07-04,4928,Norte
261,1626,2022-11-07,6765,Centro
1868,1628,2021-11-06,8334,Sur
391,1651,2020-07-22,7187,Centro
820,909,2021-06-24,8554,Centro
776,803,2020-10-16,1958,Norte
1950,77,2023-02-26,5858,Norte
1638,480,2021-11-19,8337,Norte
1058,18,2021-11-24,9727,Centro
891,656,2020-05-14,4036,Centro
1153,1685,2023-09-12,3072,Norte
271,1538,2023-10-24,8411,Norte
438,1214,2020-11-09,1741,Sur
596,1280,2023-08-28,7839,Centro
1081,1748,2023-08-10,4000,Centro
691,1339,2023-03-24,8824,Norte
199,1800,2021-11-14,4580,Centro
1584,1581,2021-04-05,4015,Sur
541,442,2020-03-11,8004,Norte
1334,329,2022-05-09,4380,Sur
1222,669,2021-03-14,6843,Sur
267,513,2022-08-01,3815,Centro
224,988,2021-02-17,7053,Norte
112,1739,2020-01-03,2164,Norte
384,1784,2021-12-27,7050,Norte
1102,1660,2021-05-23,1745,Centro
465,1910,2022-12-28,7014,Sur
1694,1460,2020-04-07,8633,Centro
604,949,2021-05-02,7974,Centro
1617,1953,2021-02-19,6831,Centro
874,988,2021-06-12,4928,Sur
1752,607,2021-10-21,2057,Centro
122,727,2020-09-15,1343,Norte
353,651,2023-08-03,4541,Centro
1922,223,2020-04-14,1602,Norte
1950,361,2023-02-16,1004,Sur
1260,1341,2023-01-25,2100,Sur
131,1370,2021-10-03,4434,Sur
1770,1967,2021-07-10,2247,Norte
285,1170,2020-01-11,7647,Norte
740,551,2020-07-01,6530,Norte
8,913,2020-07-28,1892,Sur
1374,520,2021-09-01,4610,Centro
1059,1425,2022-11-10,4138,Norte
264,830,2020-01-06,6057,Centro
1722,512,2021-07-10,1169,Centro
1685,315,2022-10-31,8254,Norte
1273,1515,2020-04-15,9996,Sur
1009,730,2021-08-04,9560,Centro
357,531,2022-05-09,8639,Centro
320,939,2020-03-06,6570,Sur
1416,4,2020-05-10,9839,Norte
525,1855,2020-05-18,6481,Norte
449,1133,2021-06-29,8986,Sur
1037,264,2022-06-04,4770,Centro
267,332,2020-04-14,1385,Centro
267,320,2023-08-29,5527,Norte
34,1529,2020-12-25,6730,Norte
1215,1749,2021-03-30,7436,Centro
1812,1835,2020-01-12,5811,Centro
346,562,2020-07-08,3988,Sur
352,1847,2020-03-28,4314,Sur
209,987,2020-07-06,1839,Sur
1640,814,2023-08-25,9228,Norte
1595,1260,2022-01-24,9562,Centro
157,976,2022-06-25,3632,Norte
1937,42,2021-10-07,8065,Sur
396,1107,2022-04-29,9074,Centro
1179,898,2021-01-03,2442,Sur
905,1246,2021-03-08,3765,Sur
1363,13,2022-09-10,4400,Norte
164,1415,2023-08-22,3966,Centro
1045,769,2022-09-02,8371,Norte
909,463,2022-12-22,2422,Centro
1512,80,2021-01-09,7920,Norte
1775,1036,2023-02-22,1167,Sur
10,1399,2020-12-28,5175,Centro
1444,969,2023-05-13,9714,Sur
733,1960,2021-08-24,5696,Norte
670,1658,2021-11-27,7109,Norte
147,289,2022-11-21,6891,Centro
576,884,2020-07-14,2379,Sur
1059,510,2022-12-31,8753,Norte
1906,136,2023-02-24,9474,Centro
14,1731,2021-08-09,7138,Norte
1831,1878,2022-09-30,9371,Sur
1811,1498,2021-03-16,5336,Sur
988,1602,2021-09-01,7630,Norte
1915,479,2021-01-22,4483,Sur
1717,1260,2020-02-14,4645,Norte
697,1785,2023-02-11,8413,Sur
1995,1588,2020-06-03,8618,Sur
1939,738,2022-05-11,5281,Sur
151,132,2020-05-19,7105,Sur
97,57,2022-12-08,2669,Centro
499,644,2021-04-24,4638,Norte
1563,713,2023-01-21,3154,Centro
1342,1416,2020-09-13,1079,Sur
1913,45,2022-01-31,3989,Norte
1329,492,2021-04-02,4484,Norte
1487,1572,2021-09-08,9899,Sur
1608,1781,2021-04-30,1053,Norte
1309,763,2023-09-04,6344,Norte
227,741,2022-01-01,6660,Centro
1212,5,2023-03-23,6267,Norte
1556,679,2022-03-20,7671,Centro
63,984,2021-05-10,8333,Sur
608,193,2023-06-02,9649,Norte
1029,860,2022-12-27,4999,Norte
105,1719,2023-07-05,3377,Sur
1431,474,2022-12-02,5019,Norte
184,1384,2022-07-21,3171,Sur
1476,862,2022-01-20,2896,Centro
1321,655,2023-08-14,4991,Sur
142,910,2021-04-12,7608,Centro
894,102,2020-10-12,9767,Sur
1181,104,2022-08-25,5399,Norte
992,1337,2023-06-12,2969,Norte
226,1538,2020-08-16,5474,Centro
905,1519,2021-06-11,2832,Sur
1738,739,2021-04-29,7005,Sur
1798,170,2022-11-03,2645,Centro
1753,1259,2023-02-04,8031,Norte
1384,496,2023-09-14,7250,Centro
1910,1786,2022-12-11,4626,Centro
1876,520,2022-01-16,3585,Centro
361,1673,2023-09-02,7191,Norte
192,1896,2023-12-14,2063,Centro
1787,866,2021-03-08,8237,Sur
481,1585,2020-02-14,4552,Norte
1828,1677,2022-04-25,3045,Norte
615,1426,2021-04-29,8858,Sur
961,1093,2022-06-18,4485,Centro
1341,329,2021-07-23,4985,Norte
1339,1973,2023-09-18,2828,Norte
1716,1079,2022-12-24,4631,Sur
